,Locality,Restaurant_Type,Ratings_out_of_5,Number of votes,Cuisines,Cost,payment_modes,5_star_review_percentage
0,32,23,4.9,7029,783,1400.0,1,79
1,8,58,4.6,2578,1626,1500.0,1,61
2,78,45,4.6,3291,1932,2500.0,6,62
3,32,24,4.3,430,61,1400.0,6,45
4,80,7,4.5,2138,1595,1500.0,6,63
5,94,7,4.6,4731,64,1400.0,1,74
6,94,23,4.5,2999,2055,1700.0,1,52
7,32,67,4.0,1437,1609,1400.0,1,53
8,25,0,4.7,2296,93,150.0,5,65
9,98,23,4.2,3758,1733,1400.0,1,43
10,6,7,4.6,370,2012,1500.0,1,72
11,35,5,4.6,948,1456,1500.0,6,61
12,8,7,4.2,280,507,1300.0,1,57
13,94,23,4.4,3435,1538,1000.0,1,64
14,60,69,4.0,259,2463,250.0,3,41
15,12,7,4.2,498,1997,1800.0,1,60
16,90,7,4.1,317,1818,1500.0,1,56
17,53,24,4.4,394,1847,1700.0,1,61
18,20,14,4.7,4665,852,1000.0,1,64
19,31,23,3.7,78,1609,1600.0,1,70
20,20,23,4.1,3243,1113,700.0,1,36
21,32,7,4.4,3006,1910,1500.0,1,58
22,5,7,4.4,382,1837,1500.0,6,74
23,94,7,4.7,1334,1824,1700.0,6,68
24,32,7,4.0,1983,128,1600.0,1,37
25,90,67,4.0,2938,1828,1700.0,1,31
26,90,23,4.1,462,285,900.0,7,63
27,85,24,4.4,2871,1682,1300.0,1,60
28,32,7,4.3,3281,2016,1500.0,1,64
29,78,30,4.3,2039,1069,2500.0,1,49
30,32,67,4.0,1941,1912,2000.0,1,51
31,82,23,4.4,1057,1365,600.0,6,64
32,5,7,4.5,3847,136,1500.0,1,58
33,58,23,0.0,0,1840,1400.0,1,0
34,32,24,4.5,3189,90,1200.0,6,69
35,8,7,4.0,1104,1821,1300.0,1,57
36,28,23,4.2,1112,1326,550.0,1,51
37,5,58,4.1,910,1200,1700.0,1,45
38,78,45,4.4,1737,1191,2200.0,1,49
39,45,24,4.5,1531,714,1500.0,1,58
40,20,69,4.2,7002,2051,600.0,1,37
41,44,25,4.2,4715,1102,1100.0,1,28
42,44,14,4.2,250,374,700.0,1,48
43,26,61,4.9,216,1630,900.0,1,70
44,5,23,4.8,3758,1201,700.0,7,75
45,78,56,4.6,2585,12,1800.0,1,67
46,32,24,4.1,230,1840,1300.0,1,52
47,44,24,4.6,1956,843,1500.0,1,50
48,28,23,4.4,5660,2453,500.0,1,44
49,94,23,4.3,2930,1641,850.0,6,57
50,52,69,4.1,3552,937,300.0,1,31
51,36,23,3.9,1429,288,700.0,6,42
52,90,23,4.3,1942,1598,700.0,6,56
53,75,23,4.2,1461,1326,600.0,1,32
54,5,7,4.3,2642,1083,1500.0,1,59
55,26,24,4.4,230,758,1400.0,1,65
56,58,7,3.9,1617,1091,2200.0,1,33
57,80,24,4.4,2654,1227,2100.0,6,44
58,80,23,3.9,1238,1681,1500.0,1,42
59,5,7,4.3,1135,772,1300.0,1,44
60,32,7,4.3,866,748,2000.0,1,64
61,32,7,4.0,1971,138,1500.0,1,44
62,58,9,4.2,2401,1082,1500.0,1,44
63,94,7,4.4,134,1081,2200.0,1,84
64,44,25,4.4,3341,1239,1600.0,1,46
65,25,69,4.6,2624,313,250.0,5,52
66,70,23,4.1,2161,580,1200.0,1,34
67,20,24,4.5,1102,760,1300.0,1,52
68,44,24,4.5,2758,59,1100.0,1,48
69,44,0,4.5,361,106,600.0,1,58
70,44,24,4.4,4815,1398,1800.0,1,51
71,33,24,4.2,970,1820,1200.0,1,44
72,24,69,4.7,3441,2463,250.0,5,51
73,78,23,4.6,527,1899,1000.0,1,60
74,58,7,4.5,3693,17,2500.0,1,56
75,13,23,3.9,2792,617,800.0,1,24
76,94,23,4.2,362,1814,1000.0,6,60
77,28,23,4.3,2450,514,1000.0,1,34
78,90,24,4.7,3790,149,1300.0,6,68
79,67,58,3.6,2528,1996,2100.0,1,35
80,53,23,4.2,3916,2036,1200.0,7,51
81,5,23,4.4,2931,2375,400.0,1,49
82,75,14,4.4,1430,415,450.0,1,56
83,5,67,4.0,938,717,1600.0,1,47
84,5,23,4.7,1647,79,1700.0,1,62
85,80,7,4.7,1894,58,1200.0,1,67
86,41,23,3.9,1044,2085,700.0,8,48
87,73,7,4.5,819,1845,1500.0,1,81
88,58,7,3.4,179,127,1300.0,1,43
89,32,24,3.9,1303,797,1500.0,1,42
90,35,24,0.0,0,1920,1500.0,1,0
91,90,7,4.9,1944,747,1400.0,6,77
92,5,7,4.1,773,140,1200.0,1,52
93,45,23,3.9,1042,297,1100.0,6,41
94,94,69,4.2,275,1365,500.0,6,55
95,41,7,4.0,987,800,1600.0,1,40
96,35,7,4.3,1438,1084,1500.0,1,54
97,5,67,4.5,2857,804,2000.0,1,52
98,35,14,4.9,378,386,1500.0,1,76
99,98,20,0.0,0,475,1800.0,6,0
100,45,14,3.9,247,422,850.0,1,39
101,12,24,4.8,350,1909,1200.0,1,72
102,44,23,4.6,250,1399,1500.0,1,70
103,90,14,4.5,742,376,700.0,1,63
104,28,7,4.3,3476,139,1300.0,1,44
105,2,69,3.7,589,313,500.0,1,41
106,58,7,4.3,2486,16,1800.0,6,44
107,5,23,3.6,277,1581,650.0,1,39
108,32,24,4.6,890,778,1500.0,1,75
109,20,23,4.0,687,587,700.0,1,31
110,75,23,3.9,2189,256,650.0,1,36
111,61,69,4.2,2208,2066,400.0,1,41
112,26,67,4.4,294,72,2000.0,1,71
113,98,7,4.5,1641,1461,1500.0,6,52
114,45,7,4.8,1861,1924,1200.0,6,88
115,5,24,4.0,1289,1742,1300.0,1,40
116,73,7,4.6,3230,1609,1800.0,1,60
117,2,7,4.4,516,1864,1600.0,6,69
118,12,23,4.6,521,2012,1300.0,6,66
119,44,23,4.8,1331,2271,1300.0,1,70
120,58,7,4.1,723,1860,2200.0,1,49
121,90,53,4.3,1158,1181,300.0,1,42
122,42,69,4.3,1670,40,250.0,3,58
123,90,24,4.2,253,1581,1200.0,1,32
124,90,24,4.9,5334,1425,1400.0,8,74
125,5,7,4.0,294,1092,1400.0,6,58
126,2,23,4.1,1948,1517,1600.0,1,32
127,53,31,3.6,91,1458,2000.0,1,54
128,32,7,3.9,3908,803,1700.0,1,22
129,78,24,4.3,3848,1208,1500.0,6,48
130,33,69,4.1,741,1581,500.0,6,37
131,32,23,4.4,3081,2013,1500.0,1,56
132,41,7,4.2,213,1832,2200.0,6,70
133,12,56,4.4,431,808,1300.0,6,62
134,26,24,4.8,494,851,1200.0,1,72
135,6,56,3.8,210,2092,800.0,5,46
136,53,69,4.0,333,896,500.0,7,37
137,26,23,4.2,883,2386,850.0,7,34
138,5,7,4.1,259,1225,1300.0,6,46
139,35,24,4.4,1073,1288,700.0,1,65
140,26,23,4.2,1225,1411,1300.0,1,40
141,41,7,3.7,149,1644,1600.0,1,57
142,44,24,4.2,1576,733,1200.0,1,40
143,86,23,4.6,1505,1223,1500.0,6,70
144,28,69,3.9,1173,315,500.0,7,33
145,5,24,3.9,1709,1645,1500.0,1,23
146,44,7,4.3,310,1524,1200.0,1,61
147,32,7,4.2,257,739,1250.0,1,72
148,58,58,4.0,1816,1639,1800.0,1,33
149,78,24,4.4,1297,485,1800.0,1,44
150,37,23,4.5,671,1326,1200.0,1,53
151,44,19,4.6,1528,383,600.0,1,65
152,31,7,4.3,2283,798,1500.0,1,67
153,39,23,4.4,130,2551,500.0,6,79
154,20,23,4.0,943,1345,500.0,1,33
155,5,24,4.4,308,2016,1400.0,6,64
156,33,7,4.2,2070,1734,1600.0,1,51
157,36,23,4.0,422,1736,700.0,1,53
158,36,69,4.3,114,1400,500.0,6,72
159,90,23,4.0,1472,1863,600.0,1,54
160,31,23,3.9,1312,1948,1000.0,1,25
161,76,23,4.1,1482,2008,950.0,6,38
162,5,9,4.3,3653,1084,1100.0,1,54
163,90,57,4.0,570,716,1200.0,6,50
164,49,23,4.4,941,2328,1200.0,1,54
165,66,7,4.0,78,1835,1500.0,6,64
166,28,69,4.2,57,2552,500.0,1,66
167,90,23,3.8,1315,2229,800.0,1,24
168,37,69,4.2,708,1517,200.0,5,55
169,45,24,0.0,0,588,1000.0,1,0
170,75,37,4.4,584,1159,200.0,5,53
171,5,23,4.1,510,1228,800.0,6,52
172,44,7,0.0,0,726,1400.0,1,0
173,94,23,4.4,1118,1528,1400.0,1,50
174,33,58,3.6,156,1820,1400.0,1,43
175,32,69,4.2,414,1517,300.0,3,59
176,5,27,4.3,3710,757,2000.0,1,50
177,44,27,3.8,212,10,1800.0,1,49
178,94,24,4.5,1188,67,1700.0,1,60
179,44,67,4.2,1344,2273,1300.0,6,41
180,31,23,4.7,3296,2213,700.0,1,75
181,28,14,4.2,311,368,700.0,1,47
182,64,23,3.8,1702,1947,800.0,6,27
183,26,23,4.0,1141,2446,600.0,1,33
184,73,24,4.6,1474,1743,1400.0,6,72
185,78,23,4.4,1535,1517,1800.0,6,63
186,51,23,4.4,201,828,800.0,1,44
187,32,7,4.5,2773,759,1300.0,1,59
188,12,45,4.3,521,1535,3200.0,1,55
189,90,57,3.9,749,1609,1250.0,1,47
190,44,41,4.7,382,1169,1000.0,6,57
191,80,14,4.4,110,433,950.0,6,73
192,44,24,4.4,847,842,2000.0,1,55
193,44,18,4.4,2014,371,1000.0,1,47
194,28,14,4.4,770,365,700.0,1,48
195,67,23,4.2,121,2068,500.0,3,74
196,59,58,4.4,875,1843,2100.0,6,47
197,45,23,4.0,1146,1366,800.0,1,38
198,8,24,0.0,0,1327,1000.0,1,0
199,78,38,4.5,1278,823,700.0,1,54
200,90,23,2.9,265,2211,600.0,6,24
201,80,14,4.0,605,381,900.0,1,34
202,32,23,3.9,1156,2016,900.0,1,22
203,51,23,3.9,1831,1876,1200.0,1,29
204,25,67,4.1,1883,2054,2200.0,1,36
205,12,7,4.1,322,73,1400.0,1,48
206,44,46,4.6,1215,2405,2100.0,1,70
207,90,23,4.0,409,2133,1000.0,1,53
208,80,24,3.9,2185,313,800.0,6,30
209,80,23,4.5,174,1972,500.0,6,66
211,31,59,4.5,1365,1229,1800.0,6,77
212,5,69,4.0,176,1594,400.0,5,97
213,66,56,4.1,3674,513,1600.0,1,32
214,28,23,4.1,1021,1840,1000.0,1,41
215,2,69,4.1,618,1863,350.0,6,52
216,5,69,4.3,1772,1049,600.0,1,30
217,51,23,4.5,813,2187,1600.0,1,80
218,36,69,4.2,140,1103,400.0,6,75
219,4,56,4.0,168,131,1500.0,1,62
220,35,7,4.2,1959,2062,1000.0,6,45
221,25,23,4.0,2696,1594,800.0,1,26
222,32,24,4.2,1086,2138,1600.0,1,71
223,32,24,4.5,843,777,1600.0,1,83
224,41,78,3.8,84,1454,250.0,5,85
225,94,69,3.7,113,1415,500.0,5,87
226,94,24,4.0,224,506,700.0,6,54
227,18,23,4.2,340,1637,1700.0,6,75
228,35,7,4.5,117,1089,1600.0,6,72
229,90,23,4.7,100,1237,1400.0,1,72
230,13,23,4.3,1754,667,900.0,1,28
231,58,58,4.1,2818,1183,2000.0,6,37
232,94,69,4.2,200,865,700.0,5,54
233,13,69,4.3,2617,2463,100.0,5,55
234,75,69,3.7,175,251,200.0,5,54
235,53,8,0.0,0,863,1700.0,1,0
236,90,14,3.9,159,346,700.0,6,61
237,67,7,3.8,1164,1852,1600.0,1,29
238,2,69,4.4,1770,2351,400.0,6,67
239,32,80,4.0,309,1517,0.0,6,70
240,44,45,4.2,739,1998,2000.0,1,43
241,73,23,4.4,623,1767,550.0,6,85
242,90,23,4.9,228,847,2000.0,1,82
243,90,36,4.2,207,102,400.0,1,66
244,80,23,4.2,46,1387,350.0,5,72
245,94,34,3.8,510,1901,0.0,5,41
246,13,23,4.2,1270,1591,650.0,1,36
247,45,35,4.4,511,1164,150.0,3,50
248,6,24,4.0,356,1781,1200.0,1,32
249,8,23,3.7,805,1581,800.0,1,29
250,5,23,4.2,1044,1326,1100.0,1,43
251,41,7,3.9,175,1222,1300.0,1,56
252,37,34,4.2,229,582,0.0,5,97
253,66,69,3.8,157,1581,350.0,5,45
254,31,0,3.5,53,123,200.0,1,42
255,78,45,4.2,962,2229,2500.0,1,47
256,45,2,4.3,339,102,600.0,6,67
257,5,7,4.0,180,1080,1700.0,1,68
258,36,23,3.9,329,1581,800.0,1,50
259,59,69,0.0,0,985,350.0,6,0
260,35,24,4.0,59,782,1200.0,3,61
261,44,67,3.8,1055,729,1900.0,1,29
262,2,7,4.1,153,1814,1500.0,1,53
263,35,23,4.2,335,849,1400.0,1,49
264,24,7,4.2,441,1840,1400.0,1,49
265,90,23,4.5,1628,1250,1600.0,1,53
266,32,80,4.7,88,2209,0.0,6,81
267,44,24,4.2,2624,1635,1300.0,1,30
268,5,23,3.9,57,2344,700.0,6,86
270,58,56,3.9,275,54,3000.0,6,47
271,67,57,4.1,1256,1814,1500.0,1,51
272,44,69,4.4,161,931,500.0,1,77
273,45,14,4.2,145,388,150.0,3,58
274,6,58,3.9,1408,691,2000.0,1,31
275,41,24,4.0,216,308,900.0,6,73
276,78,24,4.4,616,2544,2000.0,1,43
277,25,23,4.3,474,1767,1000.0,1,66
278,45,69,0.0,0,2184,250.0,3,0
279,74,34,4.0,257,954,0.0,1,33
280,44,69,4.5,669,1486,200.0,5,61
281,12,56,4.1,705,133,2500.0,1,52
282,28,69,4.0,1992,2391,600.0,5,19
283,32,46,4.3,791,71,2500.0,1,42
284,24,24,4.6,546,51,1200.0,1,70
285,33,23,4.1,130,1326,700.0,6,73
286,26,69,4.2,326,1044,250.0,6,51
287,5,7,4.4,81,1536,1400.0,1,80
288,45,35,3.8,83,818,300.0,3,94
289,90,23,3.7,1097,1581,500.0,1,23
290,45,23,4.2,317,977,1400.0,6,61
291,35,23,3.8,1712,1944,800.0,7,28
292,45,23,4.2,1496,1242,700.0,8,37
293,5,7,4.3,2107,855,1500.0,1,41
294,59,62,4.2,2235,1094,2000.0,6,46
295,58,7,4.0,119,77,1700.0,6,87
296,5,80,4.1,183,1863,0.0,5,98
297,6,23,4.0,150,2012,1200.0,1,66
298,33,69,4.0,1193,2476,300.0,5,42
299,6,80,0.0,0,1864,0.0,6,0
300,41,34,0.0,0,313,0.0,5,0
301,69,34,3.6,252,200,0.0,1,43
302,5,23,4.1,297,2411,800.0,1,46
303,92,34,0.0,0,1517,0.0,3,0
304,28,18,3.9,206,377,1200.0,1,35
305,13,24,3.7,37,781,1100.0,6,81
306,45,2,4.3,151,102,300.0,6,64
307,45,69,4.3,468,1464,250.0,6,51
308,42,23,4.0,546,2128,550.0,1,51
309,68,23,4.0,483,728,800.0,1,57
310,28,23,4.2,985,1389,800.0,1,32
311,80,24,4.2,95,2056,1100.0,6,82
312,96,51,4.8,1070,814,300.0,5,75
313,17,23,4.1,455,1734,800.0,7,40
314,5,7,4.0,1856,746,1400.0,6,44
315,59,24,4.3,389,715,1500.0,6,53
316,53,23,3.9,1104,1581,500.0,1,47
317,90,23,4.0,1675,602,600.0,7,34
318,16,34,4.2,72,865,0.0,6,90
319,32,34,3.9,109,100,0.0,6,98
320,51,23,4.4,436,1529,1900.0,1,77
321,45,69,3.9,127,1594,400.0,5,88
322,90,69,4.1,2010,2199,600.0,6,43
323,5,34,0.0,0,211,0.0,5,0
324,41,24,4.4,391,7,1200.0,1,60
325,41,80,4.1,161,2234,0.0,5,99
326,26,23,3.8,689,1365,500.0,1,27
327,31,34,0.0,0,200,0.0,5,0
328,94,34,4.0,172,479,0.0,5,96
329,73,69,3.5,100,2232,300.0,3,86
330,5,30,3.8,719,1069,1800.0,1,27
331,78,45,4.4,687,1240,3000.0,1,58
332,90,23,4.1,2144,479,1000.0,7,35
333,32,69,3.9,218,313,450.0,6,53
334,2,23,4.2,1980,286,1200.0,1,39
335,90,7,4.1,218,545,1800.0,1,60
336,44,14,4.4,268,464,1000.0,1,48
337,42,23,3.9,988,2131,550.0,1,37
338,16,23,4.0,525,2451,850.0,6,42
339,45,14,4.4,641,379,300.0,6,55
340,2,23,3.7,152,283,800.0,1,40
341,45,69,0.0,0,1046,500.0,9,0
342,67,24,4.1,2563,289,1200.0,1,45
343,31,24,0.0,0,1610,1400.0,1,0
344,6,69,4.3,250,854,500.0,1,54
345,75,69,3.8,43,2463,100.0,5,67
346,18,69,3.7,48,2202,400.0,5,88
347,13,23,3.9,1767,1736,400.0,5,39
348,44,69,4.2,488,2297,250.0,5,40
349,53,2,3.7,317,107,350.0,1,31
350,94,24,3.8,524,1631,900.0,8,37
351,2,22,4.0,549,1512,0.0,1,69
352,5,14,4.1,67,402,850.0,1,77
353,45,23,3.9,816,577,900.0,1,32
354,5,27,3.9,1707,10,1800.0,1,41
355,35,58,0.0,0,1848,1300.0,6,0
356,90,23,4.5,679,1106,1100.0,1,62
357,39,23,4.5,2244,1517,600.0,1,51
358,58,65,4.2,2445,1100,2000.0,1,62
360,64,23,4.4,793,751,600.0,6,46
361,44,23,4.3,237,1551,1000.0,1,65
362,41,69,3.5,33,1517,200.0,3,94
363,2,14,4.3,702,195,600.0,6,51
364,20,69,4.0,1786,2463,150.0,1,33
365,6,69,4.1,282,865,650.0,6,70
366,41,23,4.3,2521,683,750.0,7,61
367,80,7,4.1,184,504,1400.0,6,58
368,2,18,4.4,824,387,1000.0,1,60
369,35,6,4.3,2919,779,2000.0,1,62
370,90,56,4.1,971,1649,1600.0,7,36
371,5,24,3.9,72,1190,1500.0,6,85
372,32,23,4.0,157,1581,1500.0,6,56
373,45,58,3.9,631,1609,1500.0,1,45
374,26,69,4.4,415,2463,150.0,5,56
375,45,80,3.8,76,1142,0.0,3,91
376,32,47,3.7,140,1517,250.0,3,55
377,31,34,3.8,46,479,0.0,3,96
378,31,69,4.3,234,2463,150.0,5,60
379,53,69,3.7,48,1581,350.0,3,90
380,52,24,4.2,358,1530,1200.0,6,47
381,5,24,3.9,78,1219,800.0,1,94
382,94,14,3.9,119,361,300.0,6,83
383,41,46,4.5,409,1500,2200.0,1,50
384,5,23,4.0,671,279,1000.0,1,30
385,32,24,0.0,0,88,1200.0,1,0
386,58,46,4.3,700,718,2100.0,7,41
387,45,26,4.4,599,2272,1200.0,6,51
388,29,69,3.5,40,2017,500.0,5,67
389,5,23,3.5,19,2012,1500.0,1,63
390,5,3,4.4,418,107,400.0,1,78
391,32,69,4.2,409,2351,150.0,6,51
392,41,34,3.8,55,313,0.0,5,90
393,53,69,3.7,52,479,350.0,3,94
394,2,34,3.7,209,1517,0.0,1,67
395,92,34,4.0,204,479,0.0,3,69
396,44,7,4.1,2812,795,1300.0,1,26
397,5,23,4.1,921,1614,1100.0,6,38
398,5,24,4.1,580,1221,1400.0,1,38
399,20,78,4.3,767,2501,350.0,1,50
400,90,19,0.0,0,435,600.0,6,0
401,11,69,4.5,403,865,300.0,5,63
402,66,35,4.6,169,818,300.0,1,86
403,13,69,4.5,240,2351,200.0,3,64
404,49,14,4.4,1456,390,700.0,6,52
405,2,69,3.8,97,1568,400.0,1,94
406,94,69,3.9,363,1494,400.0,6,40
407,5,7,4.4,621,1079,1800.0,1,63
408,2,80,3.7,46,283,0.0,5,98
409,36,69,3.7,439,1594,500.0,5,40
410,74,34,4.0,297,1490,0.0,6,85
411,44,24,4.3,2683,857,1300.0,1,46
412,5,24,3.9,1465,756,1200.0,1,26
413,13,23,3.9,370,1581,600.0,1,31
414,90,73,4.5,396,385,500.0,6,62
415,74,39,4.8,741,814,200.0,6,77
416,26,23,4.2,310,1423,1500.0,6,48
417,45,69,0.0,0,1736,450.0,3,0
418,80,69,3.7,89,1213,500.0,6,82
419,67,34,3.8,86,170,0.0,5,93
420,4,24,4.1,262,2330,1400.0,6,53
421,12,45,4.4,557,1527,3000.0,1,60
422,90,46,4.3,645,1522,2600.0,1,55
423,94,69,3.8,103,2463,200.0,5,72
424,92,34,3.5,0,2288,0.0,6,0
425,4,80,3.7,66,479,0.0,6,91
426,90,34,4.1,123,1581,0.0,1,43
427,96,34,0.0,0,200,0.0,5,0
428,67,69,4.3,286,2463,150.0,8,53
429,4,23,0.0,0,712,1500.0,1,0
430,97,23,3.8,949,2119,600.0,1,39
431,90,24,4.5,1213,1203,1500.0,1,66
432,51,46,4.6,806,734,2100.0,1,72
433,5,23,4.2,614,49,1000.0,6,48
434,98,23,0.0,0,1527,2000.0,1,0
435,42,69,4.3,236,2463,100.0,3,63
436,2,80,3.8,289,2012,0.0,1,68
437,5,69,3.5,231,515,400.0,5,43
438,51,23,4.2,244,2099,1500.0,1,76
439,90,23,4.1,870,2360,300.0,1,45
440,37,69,0.0,0,2198,300.0,5,0
441,93,23,3.9,535,1326,500.0,1,35
442,45,23,4.2,923,1517,600.0,1,50
443,80,24,4.0,277,858,1500.0,6,42
444,44,56,3.9,1049,1517,2500.0,1,39
445,33,24,3.9,44,2338,1400.0,1,60
446,12,23,3.7,58,1460,1000.0,1,71
447,80,23,0.0,0,521,600.0,6,0
448,0,69,4.2,698,1318,350.0,1,50
449,78,69,3.5,39,1326,300.0,6,92
450,41,14,4.3,206,430,500.0,6,78
451,12,45,4.3,158,1517,3000.0,1,59
452,17,23,3.5,317,1767,700.0,7,31
453,2,24,3.9,287,2011,1600.0,1,43
454,75,69,3.9,1235,2463,150.0,1,35
455,45,69,3.8,55,874,300.0,6,94
456,44,14,4.3,358,430,800.0,1,60
457,9,23,4.0,546,1354,800.0,1,47
458,72,23,4.4,773,1517,500.0,3,53
459,5,69,4.4,38,1186,700.0,6,87
460,67,69,3.2,88,2198,500.0,6,59
461,5,23,0.0,0,1814,1000.0,1,0
462,5,14,0.0,0,2208,700.0,6,0
463,45,23,4.4,1819,1185,1200.0,1,50
464,73,0,3.7,47,112,300.0,6,92
465,80,24,4.1,359,2420,1000.0,1,38
466,34,34,4.2,531,1137,0.0,5,55
467,32,69,3.6,389,261,800.0,1,36
468,5,23,3.9,118,1326,800.0,5,45
469,31,34,0.0,0,517,0.0,3,0
470,90,18,4.4,1887,367,800.0,1,50
471,44,14,4.1,78,379,900.0,5,47
472,66,34,3.9,41,1267,0.0,6,98
473,59,69,4.0,230,321,300.0,6,49
474,59,69,3.9,96,2518,350.0,6,93
475,42,14,3.3,50,375,600.0,6,74
476,6,24,3.9,319,1824,1500.0,1,42
477,45,24,3.9,1814,1534,1200.0,1,37
478,28,23,3.8,1514,2006,1000.0,1,16
479,25,66,4.1,3865,806,1600.0,1,31
480,98,23,4.5,337,797,1000.0,1,56
481,4,23,3.6,81,2099,700.0,1,81
482,5,24,4.6,56,2014,1500.0,1,74
483,41,34,3.7,33,1517,0.0,5,91
484,45,24,4.0,168,1609,1400.0,6,60
485,35,15,4.8,588,111,600.0,1,76
486,68,5,4.2,921,1093,1300.0,1,61
487,61,23,3.5,450,638,650.0,7,30
488,58,24,4.0,91,1618,1000.0,6,65
489,35,0,4.2,247,93,500.0,1,75
490,41,80,3.6,34,2135,0.0,6,91
491,44,36,4.4,564,102,600.0,1,75
492,2,69,4.0,254,2012,650.0,5,93
493,13,23,4.0,1798,805,1000.0,1,32
494,28,7,4.1,2008,1842,1200.0,1,37
495,98,24,4.0,537,1554,1300.0,1,43
496,73,69,3.6,48,1365,350.0,3,88
497,64,23,3.6,60,479,950.0,6,80
498,35,23,4.8,126,1138,800.0,3,76
499,53,23,3.9,137,783,1000.0,1,75
500,60,24,3.7,43,496,1000.0,6,94
501,5,80,4.0,102,1409,0.0,5,97
502,26,23,4.4,573,1859,1200.0,1,44
503,2,23,3.8,116,1517,900.0,6,36
504,66,34,4.1,346,865,0.0,5,65
505,5,23,4.0,652,1873,1100.0,1,37
506,53,80,3.9,209,2351,0.0,5,42
507,51,5,4.1,123,1069,1000.0,1,76
508,2,23,3.8,638,82,800.0,1,46
509,0,23,4.0,396,1801,700.0,1,48
510,18,23,3.7,907,807,1200.0,1,32
511,44,23,4.1,2393,683,750.0,7,46
512,41,23,4.0,583,36,500.0,6,48
513,41,23,3.8,158,1921,2000.0,1,40
514,41,80,3.6,30,1581,0.0,5,97
515,92,69,0.0,0,479,400.0,3,0
516,31,69,4.1,438,1334,500.0,1,56
517,31,34,3.7,74,479,0.0,5,98
518,5,23,4.1,758,1914,800.0,1,38
519,9,23,3.8,193,1951,500.0,1,52
520,84,23,3.9,138,1951,500.0,6,46
521,26,23,4.3,655,661,900.0,6,52
522,92,69,0.0,0,2247,400.0,5,0
523,90,7,4.0,1931,1632,1900.0,1,28
524,5,24,4.5,1599,60,1200.0,1,54
525,2,23,4.5,810,763,700.0,1,50
526,5,69,4.6,724,940,600.0,6,75
527,58,7,3.8,334,2528,1900.0,1,42
528,5,23,4.2,446,840,1300.0,1,47
529,56,14,4.1,775,428,900.0,6,44
530,94,69,3.7,35,865,550.0,3,91
531,90,34,3.6,26,2239,0.0,6,92
532,90,24,3.9,167,2016,1300.0,6,44
533,90,80,4.0,160,2235,0.0,3,75
534,41,23,4.1,196,1326,700.0,5,66
535,17,69,4.0,363,2463,200.0,5,49
536,13,69,3.9,215,962,300.0,1,66
537,66,24,4.2,185,1819,1200.0,1,55
538,32,47,3.9,214,1554,300.0,3,75
539,78,35,3.7,41,818,250.0,6,88
540,34,34,3.9,43,2541,0.0,3,40
541,68,69,3.6,60,1517,500.0,3,56
542,5,24,4.2,206,1619,900.0,6,51
543,58,23,4.3,227,1185,2000.0,1,62
544,80,23,4.1,784,1326,900.0,1,43
545,90,69,4.6,188,515,450.0,3,72
546,78,14,3.8,80,440,550.0,3,94
547,90,80,0.0,0,2234,0.0,6,0
548,4,69,0.0,0,917,400.0,5,0
549,94,69,4.1,137,1020,350.0,6,79
550,90,23,3.9,54,2099,1500.0,6,61
551,53,47,3.7,22,479,600.0,5,90
552,63,23,3.8,506,2106,600.0,1,33
553,25,23,2.1,1229,2006,550.0,5,17
554,84,80,3.7,46,2157,0.0,5,96
555,5,34,3.9,90,50,0.0,5,38
556,73,23,3.9,230,1759,950.0,6,50
557,5,23,3.9,643,2030,1600.0,1,43
558,16,23,2.5,206,1326,800.0,1,27
559,37,69,3.9,131,200,300.0,3,76
560,67,23,4.1,727,2002,1500.0,1,54
561,5,35,4.2,205,1164,400.0,1,57
562,5,7,3.9,1433,1459,1500.0,1,40
563,90,24,4.2,1225,69,900.0,8,60
564,44,2,4.3,432,110,500.0,6,51
565,54,34,3.5,34,1517,0.0,5,94
566,65,80,3.5,27,270,0.0,5,78
567,74,0,4.6,513,93,500.0,5,92
568,28,23,3.6,521,479,700.0,1,32
569,45,14,4.5,211,437,800.0,1,66
571,37,80,3.9,690,1490,0.0,5,65
572,86,80,3.7,40,2224,0.0,5,97
573,36,23,3.7,561,1643,700.0,1,24
574,84,23,3.8,605,2445,500.0,1,37
575,49,80,0.0,0,310,0.0,5,0
576,2,69,3.8,93,2476,150.0,3,59
577,36,23,3.8,151,2129,450.0,6,33
578,17,24,3.7,82,1912,1400.0,1,56
579,5,23,3.6,754,1151,700.0,1,40
580,50,69,3.7,35,479,350.0,3,97
581,31,76,3.8,117,1442,200.0,1,55
582,32,23,3.7,817,1987,600.0,6,43
583,32,34,4.4,28,1581,0.0,1,88
584,36,69,4.0,111,2463,100.0,9,49
585,35,45,4.3,730,699,3000.0,1,57
586,32,24,3.8,594,509,1600.0,1,48
587,44,23,4.1,961,1212,950.0,6,41
588,74,50,4.2,150,865,300.0,1,64
589,59,14,4.1,50,444,1000.0,1,76
590,5,69,4.1,40,2464,150.0,3,77
591,90,24,4.1,349,2006,1500.0,1,57
592,45,69,3.6,67,200,200.0,5,72
593,5,7,4.1,1243,1463,1500.0,1,42
594,2,35,4.5,213,818,250.0,6,75
595,76,69,3.9,99,1260,600.0,3,73
596,41,34,3.7,34,337,0.0,5,97
597,32,7,3.7,61,1523,1500.0,1,59
598,41,69,3.5,22,1581,450.0,5,100
599,94,76,3.5,28,1442,150.0,3,82
