,Locality,Restaurant_Type,Ratings_out_of_5,Number of votes,Cuisines,Cost,payment_modes,5_star_review_percentage
9535,31,69,0.0,0,1517,300.0,5,0
9536,44,34,3.1,6,479,0.0,3,83
9537,6,69,3.3,13,865,400.0,5,92
9538,64,69,3.1,5,1581,500.0,6,100
9539,58,47,3.0,4,2066,400.0,3,100
9540,45,69,3.0,7,874,300.0,3,57
9541,65,69,3.1,11,200,150.0,3,37
9542,36,14,3.7,15,338,200.0,3,79
9543,98,0,3.1,4,102,250.0,5,75
9544,32,47,2.7,186,769,600.0,1,41
9545,67,69,3.3,23,1517,200.0,5,83
9546,31,69,3.2,10,2463,200.0,5,60
9547,90,69,3.2,4,865,250.0,5,83
9548,22,80,3.6,31,264,0.0,6,90
9549,94,80,0.0,0,479,0.0,5,0
9550,31,80,0.0,0,1389,0.0,5,0
9551,93,69,0.0,0,865,400.0,3,0
9552,66,34,0.0,0,1581,0.0,6,0
9553,5,69,0.0,0,2351,150.0,5,0
9554,31,69,0.0,0,874,200.0,3,0
9555,24,69,0.0,0,1048,200.0,6,0
9556,52,23,3.8,35,1520,800.0,6,57
9557,84,80,0.0,0,1591,0.0,5,0
9558,45,34,3.2,6,63,0.0,5,100
9559,51,69,3.6,64,1109,500.0,6,48
9560,67,35,3.9,96,1167,100.0,6,62
9561,31,80,0.0,0,200,0.0,5,0
9562,91,34,0.0,0,2176,0.0,5,0
9563,31,80,0.0,0,200,0.0,5,0
9564,44,69,0.0,0,936,200.0,3,0
9565,31,69,3.0,82,1581,400.0,7,29
9566,89,69,3.2,19,865,250.0,9,48
9567,9,80,0.0,0,1517,0.0,6,0
9568,31,34,3.1,4,1517,0.0,3,80
9569,31,69,0.0,0,515,200.0,3,0
9570,96,80,0.0,0,1265,0.0,5,0
9572,22,80,0.0,0,865,0.0,5,0
9573,46,34,0.0,0,200,0.0,5,0
9574,31,80,0.0,0,2234,0.0,5,0
9575,59,69,3.0,4,1581,300.0,1,75
9576,64,23,3.5,23,579,500.0,3,79
9577,5,22,2.6,53,267,0.0,2,59
9578,76,79,3.6,40,200,0.0,5,38
9579,32,69,0.0,0,1999,400.0,6,0
9580,32,80,3.2,7,1581,0.0,5,71
9581,23,69,3.1,9,2449,200.0,3,78
9582,33,0,0.0,0,93,450.0,6,0
9583,41,23,3.6,56,579,600.0,1,87
9584,36,69,3.3,66,1697,250.0,9,76
9585,13,23,0.0,0,303,1000.0,1,0
9586,9,69,3.1,5,1517,300.0,6,80
9587,75,69,0.0,0,1326,300.0,3,0
9588,9,69,3.5,21,1204,500.0,3,76
9589,9,69,3.1,5,865,250.0,3,80
9590,37,69,3.3,49,264,300.0,5,76
9591,93,69,0.0,0,874,400.0,3,0
9592,5,69,3.9,156,2163,550.0,5,36
9593,18,23,3.4,208,2028,650.0,1,49
9594,37,80,0.0,0,874,0.0,3,0
9595,9,69,0.0,0,2449,200.0,3,0
9596,94,69,3.1,21,1517,350.0,6,43
9597,9,69,0.0,0,1367,400.0,6,0
9598,45,69,3.4,22,200,250.0,5,100
9599,13,69,0.0,0,865,300.0,5,0
9600,6,69,3.4,37,900,400.0,3,75
9601,7,69,0.0,0,865,250.0,3,0
9602,9,63,0.0,0,2181,100.0,5,0
9603,17,80,0.0,0,1581,0.0,3,0
9604,66,80,0.0,0,1581,0.0,5,0
9605,31,47,3.4,76,682,600.0,7,28
9606,59,69,0.0,0,2320,400.0,6,0
9607,32,34,0.0,0,1707,0.0,5,0
9608,7,69,0.0,0,1365,350.0,5,0
9609,92,14,3.2,16,349,300.0,3,81
9610,59,0,0.0,0,93,250.0,5,0
9611,26,35,0.0,0,814,200.0,3,0
9612,90,35,3.7,50,1164,250.0,5,44
9613,67,69,4.0,36,192,200.0,3,69
9614,67,41,0.0,0,827,500.0,6,0
9615,42,80,0.0,0,1517,0.0,5,0
9616,62,24,2.9,4,1893,2100.0,1,50
9617,32,23,2.6,636,1581,700.0,6,25
9618,6,69,3.0,23,479,500.0,5,43
9619,53,38,3.5,20,822,300.0,1,80
9620,84,69,3.0,6,2234,400.0,5,50
9621,41,80,4.0,82,1517,0.0,5,94
9622,68,69,3.1,10,579,300.0,5,60
9623,66,69,3.3,12,479,200.0,3,92
9624,41,47,3.3,52,1517,300.0,5,81
9625,4,69,2.9,125,1581,450.0,1,54
9626,95,80,3.0,5,479,0.0,5,40
9627,24,35,3.2,12,1164,200.0,1,75
9628,32,23,3.2,5,2106,500.0,6,80
9630,42,34,0.0,0,682,0.0,3,0
9631,67,69,3.2,11,874,150.0,6,100
9632,17,80,3.2,9,865,0.0,1,100
9633,35,69,0.0,0,975,550.0,6,0
9634,45,41,3.2,8,1168,250.0,6,13
9635,84,23,2.9,28,1581,300.0,1,25
9636,15,23,2.9,6,1326,500.0,1,66
9637,84,23,3.9,36,1957,750.0,5,55
9638,92,79,3.2,8,1954,0.0,3,100
9639,92,34,3.4,12,1517,0.0,3,100
9640,42,69,3.1,4,617,400.0,3,100
9641,93,35,3.8,50,1164,150.0,3,90
9642,32,24,0.0,0,1611,800.0,1,0
9643,92,80,3.4,13,1581,0.0,1,100
9644,94,34,0.0,0,1119,0.0,3,0
9645,11,69,3.8,94,865,150.0,5,93
9646,34,34,3.1,7,865,0.0,3,100
9647,5,69,3.3,12,112,300.0,5,8
9648,94,34,0.0,0,2351,0.0,3,0
9649,97,69,0.0,0,603,400.0,3,0
9650,36,69,0.0,0,2099,200.0,3,0
9652,94,69,0.0,0,2463,150.0,3,0
9653,84,69,2.9,7,479,200.0,5,28
9654,37,23,0.0,0,1573,450.0,1,0
9655,37,60,2.7,23,1326,150.0,5,22
9656,36,35,0.0,0,1164,200.0,5,0
9657,89,69,0.0,0,989,500.0,6,0
9658,41,34,0.0,0,479,0.0,5,0
9659,91,80,0.0,0,1473,0.0,5,0
9660,92,69,0.0,0,2463,150.0,3,0
9661,32,80,0.0,0,2224,0.0,5,0
9662,53,69,0.0,0,2463,200.0,3,0
9663,92,69,0.0,0,2351,200.0,5,0
9664,31,80,0.0,0,479,0.0,3,0
9665,42,69,0.0,0,2463,150.0,5,0
9666,51,69,0.0,0,999,450.0,6,0
9667,50,34,0.0,0,1863,0.0,3,0
9668,37,69,0.0,0,2375,150.0,5,0
9669,32,80,0.0,0,2463,0.0,5,0
9670,44,80,0.0,0,1517,0.0,5,0
9671,41,80,0.0,0,2157,0.0,3,0
9672,36,34,0.0,0,479,0.0,5,0
9673,41,34,0.0,0,515,0.0,3,0
9674,62,69,0.0,0,1365,300.0,6,0
9675,6,69,0.0,0,2485,300.0,3,0
9676,26,69,0.0,0,865,200.0,5,0
9677,41,80,0.0,0,2463,0.0,3,0
9678,41,69,0.0,0,1648,350.0,5,0
9679,72,69,0.0,0,1517,200.0,5,0
9680,37,69,0.0,0,1517,200.0,5,0
9681,31,69,0.0,0,2188,300.0,5,0
9682,31,69,0.0,0,664,200.0,3,0
9683,41,80,0.0,0,241,0.0,5,0
9684,90,69,3.1,4,479,300.0,5,100
9685,89,23,0.0,0,1344,800.0,6,0
9686,73,78,0.0,0,1451,150.0,6,0
9687,94,69,0.0,0,2016,400.0,3,0
9688,96,34,0.0,0,865,0.0,5,0
9689,68,69,0.0,0,1517,300.0,3,0
9690,41,69,0.0,0,479,300.0,5,0
9691,53,69,0.0,0,479,650.0,6,0
9692,7,69,0.0,0,2523,350.0,3,0
9693,45,34,0.0,0,233,0.0,5,0
9694,58,69,3.2,5,1517,400.0,6,100
9695,2,80,3.6,35,865,0.0,5,97
9696,68,69,3.1,4,1517,450.0,2,100
9697,67,69,0.0,0,2504,250.0,3,0
9698,42,69,0.0,0,865,300.0,5,0
9699,37,34,0.0,0,865,0.0,3,0
9700,2,35,0.0,0,814,110.0,3,0
9701,11,79,0.0,0,1517,0.0,3,0
9702,5,24,0.0,0,1814,1000.0,6,0
9703,50,69,3.3,14,1326,400.0,6,79
9704,23,69,3.1,6,1581,400.0,6,100
9705,78,80,3.2,7,874,0.0,3,100
9706,45,69,0.0,0,1581,300.0,5,0
9707,1,34,0.0,0,1007,0.0,5,0
9708,59,0,0.0,0,112,150.0,3,0
9709,59,80,0.0,0,1863,0.0,3,0
9710,37,80,0.0,0,1951,0.0,3,0
9711,93,80,0.0,0,865,0.0,5,0
9712,69,34,0.0,0,2263,0.0,3,0
9713,59,69,0.0,0,1326,50.0,3,0
9714,51,69,0.0,0,1109,400.0,6,0
